No.,Name_en,Name_zh,Style_zh,Style_en,Floors,Height_ft,Height_m,Year,Architect,Description_zh,Description_en,Location,Link,Picture (CC),Attribution,Side Note Title_zh,Side Note Title_en,Side Note Picture (CC),Side Note_zh,Side Note_en,Side Note Attribution,Contact_zh,Contact_en,Contact Number,Table List_zh,Table List_en,Table Content_zh,Table Content_en
28,Aqua Tower,水大樓,現代主義,Modernism,86,859,261.8,2009,Studio Gang Architects,"    水大樓最突出的特點就是玻璃幕牆和每層略有不同的波浪形陽台的組合，看似漣漪垂直表現在立面上。陽台從玻璃幕牆伸出，最遠達12英尺，除了讓居住者有機會直接享受室外的都市風景外，也具相當良好的遮陽效果。
    這樣設計手法產生了遠近不同的效果：近處仰視有種強烈的雕塑感，而遠處觀看仍然是一個細長的長方體。大樓強烈的造型亦猶如裸露的石灰岩層，即大湖區常見的特色地質，建築師的靈感其實是由此而來。",,41°53′11″N 87°37′12″W,http://en.wikipedia.org/wiki/Aqua_Tower,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Aqua_Tower_Chicago.jpg/109px-Aqua_Tower_Chicago.jpg,"""<a href=""http://www.flickr.com/photos/gshowman/3668250139/"">aqua-tower-2</a>"" by <a href=""https://www.flickr.com/photos/gshowman/"">George Showman</a> is licensed under <a href=""https://creativecommons.org/licenses/by/2.0/"">CC BY 2.0</a>",,,,,,,,,,,,,
07,Wrigley Building,青箭大樓,布雜藝術,Beaux Arts,30,425,130,1924,"Graham, Anderson, Probst & White","    青箭大樓以絕佳的地理位置和耀眼白色外觀再加上大時鐘，使它成為芝加哥最著名的建築物之一。實際上這也是青箭口香糖的總部大樓，以創立者威廉瑞格理（William Wrigley）命名的大樓分南北兩棟，南棟有一高達30層樓之高塔，以入口門廳和天橋連接至北棟，兩建築物之間形成一個有花草、水池且可供休息的開放公共空間。
    此大樓更以精細的陶瓦（Terra-Cotta）為外牆材料著稱，在建築師細心的安排下，將外牆有乳白色隨著建築物升高而漸轉為淡藍白色，以視覺色彩來加強大樓的高聳與尊貴。",,41.889707°N 87.624861°W,http://en.wikipedia.org/wiki/Wrigley_Building,https://farm3.staticflickr.com/2135/2149147551_e53a5b2ccd_s.jpg,"""<a href=""https://flic.kr/p/4gUWG8"">The Wrigley Building</a>"" by <a href=""https://www.flickr.com/photos/beautifulcataya/"">Shihmei Barger 舒詩玫</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-nd/2.0/"">CC BY-NC-ND 2.0</a>",陶瓦,Terra-Cotta,,"陶瓦（Terra-Cotta）
源自義大利文「調理過的岩石（Cooked earth）」，其防火與塑造性強之特性，使得陶瓦成為經歷過1871年大火的芝加哥於20世紀初建築物長使用的外觀材料，簡單來說陶瓦就是以黏土及其他料塑型後於火中燒製，可依照不同形狀製造，成為與眾不同的特色。",,,,,,,,,
27,John Hancock Tower,約翰漢考克大樓,現代主義,Modernism,100,1500,457,1969,"Skimore, Owings and Merrill (SOM)","    漢考克大廈底層為零售空間，向上依序為停車庫、辦公空間及住宅區。44樓設有一個全美國最高的室內游泳池。在94層處有一個觀景台，能飽覽芝加哥和密西根湖的景色。95層與96層處有雲霄全景餐廳。建築師設計了直抵基岩的巨大沉箱基礎，其中一個入地191英呎（58公尺），這是芝加哥市前所未見的。為此，設計者還訂製了專門的鑽井設備。楔形塔身面積由基底處的3716平方公尺收縮到頂部的1672平方公尺。
    楔形造型既是功能需求使然，又符合結構要求。這種造型不僅有利於結構穩定性，還有利於有效使用空間。外簷柱與橫樑構成一個鋼筒，並由在外立面上清晰可見的斜撐以及與這些斜撐和角柱相連接的結構樓板所加強，其結果是結構體系非常簡潔並且十分有效。因此常成為芝加哥的熱門取景地點。",,41.8988°N 87.6230°W,http://en.wikipedia.org/wiki/John_Hancock_Center,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Hancock_tower_2006.jpg/97px-Hancock_tower_2006.jpg,"""<a href=""http://commons.wikimedia.org/wiki/File:Hancock_tower_2006.jpg#mediaviewer/File:Hancock_tower_2006.jpg"">Hancock tower 2006</a>"" by <a href=""http://en.wikipedia.org/wiki/User:Path2k6"">Path2k6</a> is licensed under <a href=""http://creativecommons.org/licenses/by/2.5"">CC BY 2.5</a>",,,,,,,,,,,,,
30,Trump International Hotel & Tower,川普大樓,現代主義,Modernism,98,1389,423,2009,"Skimore, Owings and Merrill (SOM)",    作為芝加哥新地標的這棟摩天大樓，連同天線高達423.4公尺，實際高356.6公尺，是芝加哥第二高樓。最底部的三層樓退縮，是因為建築師希望川普大樓在視覺上能夠更融入周圍的建築物。最初的設計原規劃低樓層為辦公室空間出租，但由於當時住宅市場前景樂觀，因此改為以住宅和飯店業務為主。,,41.8891°N 87.626674°W,http://en.wikipedia.org/wiki/Trump_International_Hotel_and_Tower_(Chicago),http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Chicago_%288%29.jpg/97px-Chicago_%288%29.jpg,"""<a href=""http://commons.wikimedia.org/wiki/File:Chicago_(8).jpg#mediaviewer/File:Chicago_(8).jpg"">Chicago (8)</a>"" by <a href=""http://commons.wikimedia.org/wiki/User:BDS2006"">Basil D Soufi</a> is licensed under <a href=""http://creativecommons.org/licenses/by-sa/3.0"">CC BY-SA 3.0</a>",基座,Base,https://farm4.staticflickr.com/3242/2608903677_86383c2d50_s.jpg,沿芝加哥河退縮的基座,,"""<a href=""https://flic.kr/p/4YxjaT"">Trump Tower</a>"" by <a href=""https://www.flickr.com/photos/mhansen514/"">Michael Hansen</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc/2.0/"">CC BY-NC 2.0</a>",,,,,,,
08,Chicago Tribune Tower,芝加哥論壇報大樓,哥德復興,Gothic Revival,36,462,141,1925,Raymond M. Hood & John M. Howells,"    1845年成立的芝加哥論壇報，為慶賀成為中西部最大報社及擴大所需工作空間，於1922年舉辦芝加哥總部大樓國際競圖，除了基本空間外，競圖還要求設計一棟最漂亮的辦公大樓，加上總獎金十萬美元的誘因，來自美國本土以及世界各地22個國家共263件作品參加競賽。這棟大樓即為當年首獎，巧妙地將哥德建築概念轉換於高層大樓。
    此競圖深深影響美國建築發展，二獎芬蘭建築師沙利南（Eliel Saarinen）逐漸向上退縮的設計，後來成為高層建築的模仿對象；而德國格羅佩斯（Walter Gropius）現代主義風格的設計，在80年後的今天看來仍毫不遜色。這兩位建築師此後均在建築界有十分重要的影響力，連首獎建築師後來都追隨其風格。",,41.890426°N 87.62367°W,http://en.wikipedia.org/wiki/Chicago_Tribune_Tower,https://farm4.staticflickr.com/3134/2783596074_6ac92b3582_s.jpg,"""<a href=""https://flic.kr/p/5eYE8L"">Chicago Illinois - 18</a>"" by <a href=""https://www.flickr.com/photos/stuseeger/"">Stuart Seeger</a> is licensed under <a href=""https://creativecommons.org/licenses/by/2.0/"">CC BY 2.0</a>",,,,,,,,,,,,,
20,Chicago Federal Center Plaza,芝加哥聯邦中心廣場,國際式樣,International Style,42,562,171,1974,Mies van der Rohe,"    此廣場被高矮各異、胖瘦不同的三棟長方體建築包圍，分別是：42層樓高的Kluczynski Federal Building、30層樓高的Everett McKinley Dirksen United States Courthouse和地上一層地下兩層的美國郵局。雖然為三棟不同的建築，但因為應用了建築師密斯凡德羅的「模矩」概念，並且採用相同的鋼骨結構和細部，因此整個廣場看起來像是交響樂一般，豐富而有著同樣的韻律，非常協調。
    美國藝術家卡爾德（Alexander Calder）的作品Flamingo，巧妙的置於廣場中，其誇張的曲線造型及火紅顏色，與周圍方正、直角的黑色玻璃帷幕建築群形成強烈對比，因此常成為芝加哥的熱門取景地點。",,41.8784°N 87.6299°W,http://en.wikipedia.org/wiki/Kluczynski_Federal_Building,https://farm5.staticflickr.com/4105/5432020617_1c20cae8fd_s.jpg,"""<a href=""https://flic.kr/p/9h1wtT"">Chicago Federal Center plaza</a>"" by <a href=""https://www.flickr.com/photos/uicdigital/"">Digital Collections, UIC Library</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-sa/2.0/"">CC BY-NC-SA 2.0</a>",,,,,,,,,,,,,
26,Carson Pirie Scott & Company Building,卡森皮爾史考特公司,芝加哥學派,Chicago School,12,,,1903,Louis H. Sullivan,"    這是一棟佔據一整個街區的大型建築物，建築師是當時「芝加哥學派」的先鋒—蘇利文。此建築一大特點是鋼架結構，使得可開窗的面積大增，更多自然光得以從大片窗戶照進室內。
    除了建築物結構的創新，由鑄鐵製造的精緻表面裝飾，由曲線、漩渦組成的裝飾在西北側的主入口尤其精彩，甚至還可以找得到建築師姓名的縮寫。蘇利文提倡「形隨機能而生」的概念，在建築史上具有相當重要的地位。",,41°52′54.16″N 87°37′39.18″W,"http://en.wikipedia.org/wiki/Carson,_Pirie,_Scott_and_Company_Building",https://farm1.staticflickr.com/226/519066158_b8f25c9269_s.jpg,"""<a href=""https://flic.kr/p/MSmhw"">Carson Pirie Scott</a>"" by <a href=""https://www.flickr.com/photos/phillipmerritt/"">Phillip Merritt</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-sa/2.0/"">CC BY-NC-SA 2.0</a>",「芝加哥學派」特點複習 ,Chicago School Recap,,"「芝加哥學派」特點複習 
1.建設快速 
2.裝飾減少 
3.使用鋼骨架構，得到最少的內部支撐架構，使用面積增加 
4.磚造的表面材包覆建築立面，常用Terra-cotta
5.芝加哥窗 （Chicago windows）-- 大比例的窗戶結構，允許最多的自然光進入",,,,,,,,,
11,Aon Building,怡安中心 (橡皮擦大樓),現代主義,Modernism,83,1136,346,1973,Edward Durell Stone & Perkins & Will. Assoc.,    這棟建築物是芝加哥第二高的建築，更是全世界第一棟使用大理石表面裝飾的建築物，當初使用大理石作為建築物表面是因為建築師跟客戶都認為大理石表面非常堅硬，應該可以有效地承受風跟雨的侵蝕；然而，建築物完成後僅僅18年，大理石表面便出現裂痕，最後業主不得不花下重金，重新換成比較厚的材料。所花費的經費幾乎可以再蓋半棟同樣的大樓，成為它聞名世界的原因之一。事實上，這也告訴我們，一棟大樓的完成並不代表它就可以開始經營收益，每年所花費的維護、維修經費著實地驚人。所以摩天大樓其實是百分之十五的建築設計，百分之八十五的能源設計﹝電力、冷氣、暖氣、通風、防火系統﹞。,,41°53′07″N 87°37′17″W,http://en.wikipedia.org/wiki/Aon_Center_(Chicago),https://farm4.staticflickr.com/3191/2461065270_2c7ed18226_s.jpg,"""<a href=""https://flic.kr/p/4KtAXQ"">AON Center Chicago</a>"" by <a href=""https://www.flickr.com/photos/kathika/"">Michael Gray</a> is licensed under <a href=""https://creativecommons.org/licenses/by-sa/2.0/"">CC BY-SA 2.0</a>",,,,,,,,,,,,,
21,Inland Steel Building,內陸鋼鐵大樓,現代主義,Modernism,,332,101.2,1956,"Skimore, Owings and Merrill (SOM)","    矗立於芝加哥市區，擁有著閃亮建築立面而常被誤認為是最新落成的高層建築，事實上卻是完成於1956年的「老」大樓。
內陸鋼鐵大樓標誌著1950年代，美國戰後將現代主義商業化的開端。有著現代風格的辦公室規格非常引人注目，它的設計一直被許多後來的建築師沿用至今，使用不銹鋼材做外觀表面，讓建築物有著強烈的現代感。將服務核（建築中的樓梯、廁所、管道間等空間）放置在東邊的附加塔，因此留給辦公室一個非常完整且有最大效用的工作空間。",,41.8810°N 87.6291°W,http://en.wikipedia.org/wiki/Inland_Steel_Building,https://farm6.staticflickr.com/5016/5432722296_3cb78f097b_s.jpg,"""<a href=""https://flic.kr/p/9h584N"">Inland Steel Building</a>"" by <a href=""https://www.flickr.com/photos/uicdigital/"">Digital Collections, UIC Library</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-sa/2.0/"">CC BY-NC-SA 2.0</a>",,,,,,,,,,,,,
12,Crain Communications Building,克蘭傳播大樓 (鋼筆大樓),現代主義,Modernism,41,582,177,1984,A. Epstein & Sons,"     這棟建築物頂端有一個小開口，再加上建築物頂端的十層樓切了個大斜角以增加自然採光，從遠處望去就如同一支鋼筆一般。克蘭傳播大樓頂端的斜角往格蘭特公園（Grant Park）切落，因此被切落的斜面便成了面對公園最好的廣告牆，曾出現GO BEARS和GO SOX等標語。
    另外，其頂部使用電燈泡裝飾成一個菱形，雖然夜景上有著獨特的特色，可是因為燈泡750小時的使用壽命非常短，遠低於日光燈6000小時，因此在建成之後，更換及維護燈泡成了整棟建築物的一大支出。",,41.8854°N 87.6248°W,http://en.wikipedia.org/wiki/Crain_Communications_Building,https://farm5.staticflickr.com/4126/5197135027_2ddacb4373_s.jpg,"""<a href=""https://flic.kr/p/8VfFbk"">Smurfit Stone Building Downtown Chicago Visit</a>"" by <a href=""https://www.flickr.com/photos/footloosiety/"">David J Laporte</a> is licensed under <a href=""https://creativecommons.org/licenses/by/2.0/"">CC BY 2.0</a>",鋼筆大樓夜景,Diamond Building at Night,https://farm8.staticflickr.com/7039/6907943135_62ab586647_s.jpg,,,"""<a href=""https://flic.kr/p/bwr1PR"">Smurfit-Stone at Night</a>"" by <a href=""https://www.flickr.com/photos/kgnixer/"">niXerKG</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc/2.0/"">CC BY-NC 2.0</a>",,,,,,,
13,Chicago Board of Trade Building,芝加哥期貨交易所,裝飾風藝術,Art Deco,45,605,183.9,1930,Holanbird & Root,"    芝加哥期貨交易所是芝加哥建築中一個非常重要且精緻的裝飾風藝術建築物，非常戲劇化地佇立於La Salle St.這條財經幹線的端點。1848年設立的芝加哥期貨交易所將原本混亂不堪的穀類交易系統建立起秩序和組織，使價格的大幅震盪不再出現，為中西部的農產品交易建立了安定的市場。1930年芝加哥期貨交易所進駐於這棟非常引人注意的建築精品中。大樓內充滿藝術圖型裝飾，並且大量使用光彩亮人的大理石和烙鋼為建材。
    本棟建築所呈現的裝飾風藝術特色： 1.直線和對稱的構成 2.退縮輪廓的線條（另一實例為紐約帝國大廈） 3.農業女神在建築物頂端，透露了女人贏得了社會上的自由權利 　4.明亮對比的色彩，建材上大量運用光亮的大理石和烙鋼。",,41°52′41.25″N 87°37′56.1″W,http://en.wikipedia.org/wiki/Chicago_Board_of_Trade_Building,https://farm4.staticflickr.com/3727/11746415024_5fa2c3375c_s.jpg,"""<a href=""https://flic.kr/p/iTZrWY"">Chicago Board of Trade Building</a>"" by <a href=""https://www.flickr.com/photos/acordova/"">Alan Cordova</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-nd/2.0/"">CC BY-NC-ND 2.0</a>",,,,,,,,,,,,,
23,Richard J. Daley Center,理查戴利大樓,國際式樣,International Style,31,648,198,1965,C.F. Murphy Associates,"    以擔任芝加哥21年之久的市長為名，理查戴利大樓以其剛毅與略帶鏽褐色的外表成為芝加哥市中心顯著的建築物之一。這棟建築大樓內有許多的辦公室及挑高的法院。因此將每層樓高度增加至一般樓層的兩倍，所以其近200公尺的高度卻僅容納31層樓（台北2010年落成的市府轉運站也是31層，高度150m）。為了容納多達120個無障礙的法院及聽證空間，結構上以87x28英尺之超大跨距為柱間之尺寸。外觀上之12根巨大的柱子就是整棟建築物所有的柱子。外牆的耐候鋼經過預鏽處理，形成自然的保護層。
    身為政府機關大樓，大樓下的戴利廣場成為市民的休憩場所，常有假日農產市集等活動；廣場中的畢卡索雕像更是此地重要景點之一，電影「跳越時空的情書（The Lake House）」亦在此取景。",,41.88393°N 87.63020°W,http://en.wikipedia.org/wiki/Richard_J._Daley_Center,https://farm5.staticflickr.com/4108/5083669877_e41d7f47ce_s.jpg,"""<a href=""https://flic.kr/p/8Ke8WD"">Richard J. Daley Center</a>"" by <a href=""https://www.flickr.com/photos/paolo_rosa/"">Paolo Rosa</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-nd/2.0/"">CC BY-NC-ND 2.0</a>",畢卡索,Chicago Picasso,http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/2004-09-07_1800x2400_chicago_picasso.jpg/109px-2004-09-07_1800x2400_chicago_picasso.jpg,戴利廣場畢卡索作品,,"""<a href=""http://commons.wikimedia.org/wiki/File:2004-09-07_1800x2400_chicago_picasso.jpg#mediaviewer/File:2004-09-07_1800x2400_chicago_picasso.jpg"">2004-09-07 1800x2400 chicago picasso</a>"" by <a href=""http://commons.wikimedia.org/wiki/User:Jcrocker"">J. Crocker</a> is licensed under public domain via Wikimedia Commons",,,,,,,
17,Metropolitan Correctional Center,大都會懲教中心 (三角看守所),現代主義,Modernism,28,289,88,1975,Harry Weese & Associate,    三角形的外觀，狹窄的窗戶，這棟建築其實是芝加哥市區的臨時看守所。受柯比意（Le Corbusier）馬賽公寓住商混合概念影響，看守所底下十一層為辦公空間，包含第十層大開窗的機械設備間。頂樓為放封空間，有籃球場等運動設施。中段則是獨立的隔間牢房，三角形的平面有利於獄卒監看兩邊囚犯動靜，為了避免囚犯逃脫，窗戶僅有5英吋（12.7公分）寬，儘管如此，仍發生幾次囚犯逃脫的案例，最近一次發生在2012年12月，兩名銀行搶匪鑿開窗洞自17層樓高度垂降脫逃成功。,,41°52′36″N 87°37′50″W,"http://en.wikipedia.org/wiki/Metropolitan_Correctional_Center,_Chicago",https://farm9.staticflickr.com/8427/7756704710_a2ec1efb6e_s.jpg,"""<a href=""https://flic.kr/p/cPr957"">Metropolitan Correctional Center: a vertical prison; south of the Loop, Chicago</a>"" by <a href=""https://www.flickr.com/photos/aidaneus/"">Aidan Wakely-Mulroney</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-nd/2.0/"">CC BY-NC-ND 2.0</a>",,,,,,,,,,,,,
19,Monadnock Building,煙囪大樓,芝加哥學派,Chicago School,17,215,66,1893,"Burnham & Root (1891), Holabird & Roche  (1894)",    這是一棟建築樣式轉折的活教材，只要到芝加哥一定不能錯過。煙囪大樓由南北各一半的不同時期建築所組成，北棟明顯缺乏傳統裝飾，充分展現芝加哥學派的精神。事實上，當時的工業技術也只允許建築師用磚頭建造房子，16層的高度已經算是「摩天大樓」，下面必須要有厚重的6英呎（180公分）承重牆支撐。這也使它成為世界上最後一棟用磚塊砌成的摩天大樓，因為緊接著問世的鋼骨建築構造很快被用在南棟建築上，充分展現出鋼鐵框架的摩天大樓風格：細的柱子，寬廣的開窗面積。它的存在充分展現建築技術發展的痕跡：一種建築模式的結束，另一種建築模式的開始。,,41°52′39″N 87°37′46″W,http://en.wikipedia.org/wiki/Monadnock_Building,https://farm4.staticflickr.com/3370/3229762793_a3237db694_s.jpg,"""<a href=""https://flic.kr/p/5VpnXp"">Monadnock Building</a>"" by <a href=""https://www.flickr.com/photos/urbanoasis/"">Dale Winling</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc/2.0/"">CC BY-NC 2.0</a>",,,,,,,,,,,,,
25,Reliance Building,信賴大樓,芝加哥學派,Chicago School,15,,,1895,D. H. Burnham Co.,"    這棟是芝加哥建築中非常重要的代表建築物之一，它是「芝加哥學派」的先驅。當時，它的外觀使得人們稱之為晶瑩剔透玻璃盒。建築師將每一種可以使用的玻璃的可能都放置上去。突出的窗台不但可以增加用玻璃的機會，還可以隱藏支撐建築物的柱子。
    使用陶瓦的樓層外觀裝飾。強調橫向建築線條，意圖打破當時盛行一時的垂直上衝的直線設計。",,41°52′58″N 87°37′40″W,http://en.wikipedia.org/wiki/Reliance_Building,http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/2010-03-03_1872x2808_chicago_reliance_building.jpg/97px-2010-03-03_1872x2808_chicago_reliance_building.jpg,"""<a href=""http://commons.wikimedia.org/wiki/File:2010-03-03_1872x2808_chicago_reliance_building.jpg#mediaviewer/File:2010-03-03_1872x2808_chicago_reliance_building.jpg"">2010-03-03 1872x2808 chicago reliance building</a>"" by <a href=""http://commons.wikimedia.org/wiki/User:Jcrocker"">J. Crocker</a> via Wikimedia Commons",玻璃盒,,,在信賴大樓之前，已經有玻璃盒式的建築物，如1851的水晶宮等等，可是都不是高層建築。後來，由於高速電梯的發明，才使得這棟高層建築及將來的摩天大樓成為可能。,,,,,,,,,
0,IIT TSA - Arch Tour 2014,2014 建築之旅,,,,,,,,一切始於伊利諾理工大學建築系學長姐的即興之作，原本具私人性質的建築之旅，從一開始只限伊利諾理工大學台灣同學會的活動，慢慢擴展成美國中西部台灣留學生一年一度的盛事。近年更有許多東岸及西岸的學生，不遠千里前來共襄盛舉。從首屆只有11人參與，隨著歷年同學會的努力耕耘，2013年『芝加哥建築之旅』參加者再度打破記錄，一舉突破400人。『芝加哥建築之旅』讓台灣留學生不僅體驗芝加哥建築之美，無形中更凝聚留學生情誼，為彼此搭起友誼的橋樑！,,,,,,,,,,,,Grace Lin,Grace Lin,123-456-7890,"10:30,11:15,12:45,13:30,18:00",,"報到,室內深度導覽,午餐&導覽小隊集合,戶外水/陸路導覽,千禧公園集合、有獎徵答、記念合照、問卷回收",
999,Credits,誌謝,,,,,,,,,,,,,,,,,,,,,,,"主辦團隊,活動講師,活動總召,創意總監,工作人員,手冊美編,責任編輯,手冊原稿,美術設計,特別感謝",,"伊利諾理工學院台灣同學會,康世謙、黃春輝、杜翰堂、王士樵、曾齡儀、侯瑞瑄、陳信光、陳冠豪、陳冠如、林采凡、詹仁普、楊彥航、何柏奇,薛博文、蕭阡祐,詹仁普、陳冠如,張佳雯、陳勁達、莊詠傑、馮皓翔、謝函恩、朱盛葳、李亞耘、連惟婷、單寶蓁、汪佳生、吳品諭、官大為、周士為、孫 衡、楊育霖、黃宥豪、楊上賢、黃鈺婷、林于涵、方郁薇、劉謙平、蕭筱寧、林 梟、吳桐雨,吳品諭,陳冠如、詹仁普,康世謙、張朋千、吳霖怡、郭俊宏、歐啟超,林采凡(紀念品)、林辛承(T恤),駐芝加哥台北經濟文化辦事處、駐芝加哥辦事處教育組",
